Distancia total
,Tipo de actividad,Valor
Ene,Ciclismo,288.43
Feb,Ciclismo,192.64
Mar,Ciclismo,256.72
Abr,Ciclismo,283.23
May,Ciclismo,246.77
Jun,Ciclismo,251.34
Jul,Ciclismo,424.34
Ago,Ciclismo,361.94
Sep,Ciclismo,201.68
Oct,Ciclismo,175.15
Nov,Ciclismo,318.13
Dic,Ciclismo,307.99
