Distancia total
,Tipo de actividad,Valor
Ene,Ciclismo,203.02
Feb,Ciclismo,91.23
Mar,Ciclismo,139.56
Abr,Ciclismo,311.43
May,Ciclismo,254.34
Jun,Ciclismo,242.88
Jul,Ciclismo,377.69
Ago,Ciclismo,259.05
Sep,Ciclismo,102.14
Oct,Ciclismo,319.79
Nov,Ciclismo,262.55
Dic,Ciclismo,355.4
