Distancia total
,Tipo de actividad,Valor
Ene,Ciclismo,270.98
Feb,Ciclismo,161.34
Mar,Ciclismo,244.05
Abr,Ciclismo,219.15
May,Ciclismo,280.51
Jun,Ciclismo,262.7
Jul,Ciclismo,380.04
Ago,Ciclismo,214.43
Sep,Ciclismo,151.03
Oct,Ciclismo,230.54
Nov,Ciclismo,219.13
Dic,Ciclismo,304.35
